"상품군별(1)","시점",인터넷쇼핑,모바일쇼핑
"컴퓨터 및 주변기기","2017.01",288391,133993
"컴퓨터 및 주변기기","2017.02",329143,146200
"컴퓨터 및 주변기기","2017.03",322089,151262
"컴퓨터 및 주변기기","2017.04",251604,116675
"컴퓨터 및 주변기기","2017.05",241871,109053
"컴퓨터 및 주변기기","2017.06",262908,113811
"컴퓨터 및 주변기기","2017.07",252949,128025
"컴퓨터 및 주변기기","2017.08",280831,135562
"컴퓨터 및 주변기기","2017.09",270647,128865
"컴퓨터 및 주변기기","2017.10",235350,118174
"컴퓨터 및 주변기기","2017.11",302907,157832
"컴퓨터 및 주변기기","2017.12",320177,155301
"컴퓨터 및 주변기기","2018.01",324233,187441
"컴퓨터 및 주변기기","2018.02",275786,177621
"컴퓨터 및 주변기기","2018.03",310948,193113
"컴퓨터 및 주변기기","2018.04",243815,165240
"컴퓨터 및 주변기기","2018.05",237559,166676
"컴퓨터 및 주변기기","2018.06",220404,151440
"컴퓨터 및 주변기기","2018.07",239475,164775
"컴퓨터 및 주변기기","2018.08",249200,169705
"컴퓨터 및 주변기기","2018.09",226280,155899
"컴퓨터 및 주변기기","2018.10",254118,165626
"컴퓨터 및 주변기기","2018.11",275284,192882
"컴퓨터 및 주변기기","2018.12",294467,206895
"컴퓨터 및 주변기기","2019.01",329496,232016
"컴퓨터 및 주변기기","2019.02",305306,237163
"컴퓨터 및 주변기기","2019.03",313340,219156
"컴퓨터 및 주변기기","2019.04",279362,189807
"컴퓨터 및 주변기기","2019.05",263783,176325
"컴퓨터 및 주변기기","2019.06",240539,148657
"컴퓨터 및 주변기기","2019.07",271299,171823
"컴퓨터 및 주변기기","2019.08",269744,178221
"컴퓨터 및 주변기기","2019.09",261053,174623
"컴퓨터 및 주변기기","2019.10",274936,170182
"컴퓨터 및 주변기기","2019.11",306368,221639
"컴퓨터 및 주변기기","2019.12",339917,214960
"컴퓨터 및 주변기기","2020.01",332810,273459
"컴퓨터 및 주변기기","2020.02",358997,315829
"컴퓨터 및 주변기기","2020.03",401374,357883
"컴퓨터 및 주변기기","2020.04",388215,331746
"컴퓨터 및 주변기기","2020.05",323924,290304
"컴퓨터 및 주변기기","2020.06",328080,256409
"컴퓨터 및 주변기기","2020.07",342726,284750
"컴퓨터 및 주변기기","2020.08",340705,314597
"컴퓨터 및 주변기기","2020.09",379361,332423
"컴퓨터 및 주변기기","2020.10",339603,276244
"컴퓨터 및 주변기기","2020.11",394626,341688
"컴퓨터 및 주변기기","2020.12",499998,415380
"컴퓨터 및 주변기기","2021.01",439730,446647
"컴퓨터 및 주변기기","2021.02",413960,435721
"컴퓨터 및 주변기기","2021.03",448924,422166
"컴퓨터 및 주변기기","2021.04",385886,346865
"컴퓨터 및 주변기기","2021.05",358402,370299
"컴퓨터 및 주변기기","2021.06",358087,305492
"컴퓨터 및 주변기기","2021.07",398976,352086
"컴퓨터 및 주변기기","2021.08",405435,368794
"컴퓨터 및 주변기기","2021.09",361370,374921
"컴퓨터 및 주변기기","2021.10",389970,339560
"컴퓨터 및 주변기기","2021.11",440303,392196
"컴퓨터 및 주변기기","2021.12",504938,456349
"컴퓨터 및 주변기기","2022.01",426178,430931
"컴퓨터 및 주변기기","2022.02",442616,501035
"컴퓨터 및 주변기기","2022.03",436962,458719
"컴퓨터 및 주변기기","2022.04",361297,355706
"컴퓨터 및 주변기기","2022.05",360368,373986
"컴퓨터 및 주변기기","2022.06",329328,308813
